股票代碼,流動比率_3Y,速動比率_3Y,利息保障倍數_3Y,負債比_3Y,ROA_3Y,ROE_3Y,毛利率_3Y
2337,190.08,112.45,32.79,43.53,10.4,17.93,34.26
2338,110.08,101.2,19.15,59.2,7.11,15.74,20.35
2340,352.45,287.0,37.91,26.21,6.4,8.47,30.61
2344,218.04,161.32,35.21,41.37,4.69,7.75,32.41
2345,183.14,120.66,212.16,55.23,16.74,37.08,20.03
2347,122.3,88.71,27.78,65.52,7.05,19.64,4.39
2348,317.51,130.46,97.93,65.77,16.14,42.33,54.74
2351,228.44,113.16,14.63,45.21,5.94,10.13,17.35
2352,122.4,75.18,12.86,64.94,4.91,12.9,13.99
2353,137.91,93.66,41.93,65.89,3.74,10.71,11.03
2354,194.87,187.46,27.05,35.05,3.4,5.01,7.7
2356,119.5,88.32,8.98,73.56,3.15,10.1,4.33
2357,152.89,93.89,220.86,48.31,7.26,13.97,17.86
2359,276.17,228.97,78.84,27.49,3.16,4.14,20.69
2360,172.06,131.63,71.97,39.83,10.69,17.49,47.98
2362,101.25,76.33,2.96,57.6,1.9,2.91,21.42
2365,600.02,507.97,25.72,17.09,3.13,3.73,28.19
2368,154.5,119.29,26.7,59.1,8.1,18.43,19.89
2373,162.56,138.96,37.49,50.91,8.91,17.57,44.47
2375,156.64,139.13,23.4,46.49,5.56,9.83,24.58
2376,210.63,127.76,1236.34,41.92,12.56,21.89,18.96
2377,177.09,105.6,561.05,52.29,13.35,27.74,15.55
2379,145.89,124.68,91.25,62.24,13.75,35.49,45.64
2382,125.35,93.13,20.46,76.95,4.23,16.83,5.67
2383,188.14,153.35,129.54,44.37,14.96,26.67,25.52
2385,124.85,84.68,116.46,56.34,9.48,21.68,17.96
2387,130.97,98.69,22.13,58.14,4.61,10.55,12.65
2388,296.84,267.84,65.66,45.06,19.52,34.71,33.26
2392,157.75,111.67,7.84,61.93,2.49,5.7,10.8
2393,175.65,159.77,32.57,39.49,4.76,7.63,25.42
2395,235.54,166.63,493.9,31.51,15.56,22.64,38.87
2397,194.53,130.45,55.69,43.87,7.8,13.03,24.23
2399,325.88,230.12,2856.91,25.26,6.1,8.11,14.0
2401,384.34,332.57,69.34,20.16,6.36,7.89,46.9
2402,194.97,163.82,15.94,35.82,2.23,3.27,12.6
2404,140.58,140.23,497.56,61.17,13.57,35.77,16.67
2405,449.35,356.86,40.22,18.91,2.15,2.54,33.04
2408,715.47,587.94,1766.95,8.23,7.7,8.4,33.63
2412,134.09,113.44,274.3,21.98,7.2,9.07,34.77
2414,151.55,108.87,48.02,54.04,5.88,12.38,8.48
2415,139.32,124.86,4.52,64.7,3.26,7.11,26.31
2417,287.36,220.79,133.1,26.41,10.47,13.88,51.19
2419,178.61,125.15,10.64,50.14,3.36,6.23,20.47
2420,189.39,124.32,35.26,42.76,9.14,15.72,37.88
2421,142.35,106.18,33.71,57.73,6.83,15.05,21.43
2423,265.03,175.95,208.42,30.79,7.94,11.35,49.75
2425,254.96,214.72,31.45,33.63,6.19,8.55,8.92
2426,274.43,217.02,22.31,35.17,6.95,10.15,17.59
2427,140.14,75.27,13.13,50.38,3.09,5.74,31.21
2428,420.31,349.81,231.35,30.91,13.56,19.25,43.1
2430,90.44,45.43,7.2,65.88,3.4,8.05,15.79
2433,171.28,163.68,42.27,39.48,7.66,12.47,30.11
2436,401.08,353.81,121.12,26.06,10.99,14.71,26.97
2439,140.32,115.21,29.89,59.26,5.94,14.32,12.83
2441,270.84,247.74,23146.91,17.5,14.01,16.87,27.13
2449,179.1,166.46,15.84,52.1,7.14,13.8,28.53
2450,180.24,125.95,55.97,42.72,4.78,8.1,11.29
2451,840.03,656.22,1455.87,10.01,8.5,9.41,24.54
2453,158.37,139.03,30.63,55.72,4.25,9.04,22.7
2454,190.25,162.92,252.73,31.86,10.97,15.86,44.24
2455,174.3,142.07,107.64,33.33,14.6,21.81,41.7
2458,251.93,207.9,532.37,34.48,26.83,40.75,47.66
2459,288.73,266.23,27.01,45.32,6.34,11.05,19.34
2462,154.47,114.67,12.04,48.76,2.77,4.84,9.2
2464,139.2,110.95,50.25,64.02,5.06,13.99,20.16
2467,151.05,122.31,33.93,59.12,7.83,18.48,33.46
2468,191.83,162.77,51.2,40.08,2.38,3.79,10.19
2472,209.78,169.25,22.44,37.96,9.27,14.55,27.69
2474,215.1,206.61,39.9,38.59,5.63,8.96,27.96
2476,298.01,259.36,52.46,35.07,6.14,9.21,27.98
2478,217.42,142.56,161.0,34.17,7.63,11.48,25.56
2480,184.84,114.53,415.98,47.95,9.72,18.64,24.5
2481,176.16,145.33,16.29,56.22,6.26,13.45,25.36
2483,154.17,117.82,17.52,38.42,3.64,5.46,19.24
2484,357.95,245.9,40.59,29.69,4.97,6.9,23.09
2488,265.17,227.47,152.35,39.45,6.32,9.73,20.95
2489,257.88,217.4,233.92,33.8,8.41,12.97,10.0
2491,1023.84,862.95,327.65,10.92,23.08,34.51,37.29
2492,190.34,156.46,68.93,42.26,10.77,18.27,31.88
2493,267.29,180.21,4141.23,34.07,8.22,12.34,26.42
2496,65.19,63.27,24.85,39.19,5.12,8.22,47.04
2501,167.97,33.89,8.49,57.72,2.56,4.99,23.88
2504,175.7,166.73,27.78,39.23,6.49,10.31,14.07
2505,172.09,52.16,33.96,52.2,10.66,22.58,29.82
2509,255.53,139.7,4.48,41.02,3.61,5.14,39.54
2511,307.35,119.36,4.54,52.62,2.56,4.24,22.31
2514,178.75,136.49,10.58,57.62,5.39,10.53,6.44
2520,157.65,63.61,12.05,68.93,6.28,19.15,26.71
2524,291.76,16.0,10.02,56.69,5.46,12.01,39.35
2527,143.19,11.2,11.09,48.3,5.56,10.25,29.71
2534,164.13,21.75,6.5,57.81,3.5,6.8,41.25
2535,199.68,134.59,38.76,58.15,5.3,12.44,12.35
2539,266.77,25.84,55.78,54.6,6.92,14.38,31.07
2540,159.16,39.58,6.84,67.22,5.63,14.4,40.22
2542,149.0,26.55,7.37,78.15,3.57,13.64,28.98
2543,114.84,114.73,3.59,72.4,2.5,6.78,2.46
2545,136.43,13.88,4.89,73.79,3.91,12.31,41.52
2547,100.84,42.47,1.9,78.57,1.41,3.24,39.53
2548,216.04,23.78,33.62,53.88,7.98,17.34,29.93
2597,134.51,124.42,63.2,52.68,9.65,19.71,13.74
2605,265.47,256.93,4.53,26.89,2.62,2.66,21.95
2607,245.28,243.77,8.78,33.97,2.8,3.64,14.92
2608,111.08,109.39,17.85,51.93,7.55,14.41,20.38
2612,136.35,135.86,6.14,48.51,3.6,5.59,20.44
2615,189.09,179.89,71.2,53.91,24.61,49.29,30.15
2616,93.2,85.66,16.07,49.25,4.41,8.11,9.55
2634,156.91,96.4,7.2,67.06,2.52,6.57,9.16
2637,49.43,47.63,4.46,64.0,5.68,11.62,27.92
2642,181.51,180.39,17.06,48.37,5.85,10.36,16.89
2707,121.5,119.59,19.86,62.8,14.54,35.45,29.59
2722,95.48,92.8,9.9,25.21,1.99,2.4,40.57
2723,115.45,104.34,7.62,51.41,5.48,9.5,59.43
2901,833.2,828.69,239.47,12.62,1.74,1.98,84.59
2903,48.28,42.91,4.43,69.58,2.27,5.63,50.44
2906,147.78,107.03,11.2,42.5,2.77,4.3,24.59
2910,102.19,42.78,5.29,61.58,2.4,5.19,58.99
2912,93.36,72.97,11.95,78.47,6.48,25.04,33.97
2915,405.37,366.59,36.05,26.5,9.09,12.58,32.14
3003,325.07,233.84,62.83,30.95,7.61,10.75,32.97
3005,178.34,124.49,89.22,45.56,9.64,17.41,27.15
3006,267.05,146.44,156.55,34.96,14.9,23.15,22.98
3008,395.33,380.62,12968.82,18.16,15.2,18.58,65.31
3010,160.26,135.0,15.59,61.44,6.35,15.24,8.09
3014,292.04,254.17,754.42,26.02,16.73,22.47,52.08
3015,167.33,124.6,56.12,38.67,3.09,4.93,13.07
3017,133.23,83.33,19.49,72.77,5.55,18.99,15.08
3019,342.68,285.46,945.13,25.63,6.14,8.23,19.66
