股票代碼,流動比率_5Y,速動比率_5Y,利息保障倍數_5Y,負債比_5Y,ROA_5Y,ROE_5Y,毛利率_5Y
1101,284.76,262.81,24.1,74.21,11.06,18.33,44.41
1102,208.72,188.39,27.62,70.99,10.07,16.35,41.11
1103,605.13,585.88,15.45,59.83,6.05,8.74,10.74
1104,201.52,187.85,85.7,35.89,8.94,11.1,23.74
1108,426.1,123.6,7.04,68.7,2.27,2.85,14.61
1109,492.77,410.22,2032.25,34.36,19.6,24.82,51.16
1201,155.26,108.51,9.53,111.13,7.59,20.01,50.33
1203,412.62,269.93,124.1,58.33,13.07,20.0,54.23
1210,191.24,124.19,21.43,80.05,11.43,20.05,22.7
1215,164.97,125.93,48.52,91.98,15.14,30.93,24.68
1216,186.22,145.5,40.92,101.31,13.97,33.2,56.21
1217,115.81,78.51,4.03,81.78,3.44,3.74,52.96
1218,318.1,259.32,58.52,54.28,11.0,15.89,29.57
1219,308.03,186.93,11.02,87.79,4.43,7.45,14.5
1220,727.53,524.71,111.7,34.54,8.0,9.86,22.85
1225,288.56,204.99,31.03,84.65,9.15,17.36,15.46
1227,383.14,287.16,110.56,56.81,19.57,29.13,46.94
1229,134.44,103.4,116.45,31.58,13.96,16.82,34.56
1231,255.72,168.48,42.43,86.02,13.57,27.05,36.22
1232,550.49,361.26,351.9,47.59,30.39,42.36,19.42
1233,262.01,170.61,158.87,54.5,9.49,13.19,95.14
1234,533.98,167.27,112.23,35.49,5.65,7.05,44.23
1235,503.61,502.31,11.12,47.49,4.84,5.73,62.41
1256,389.46,320.27,436.29,47.4,30.85,44.21,62.06
1301,391.2,348.69,79.78,47.62,15.8,21.68,30.44
1303,382.14,300.25,62.5,58.49,14.33,21.47,26.86
1304,372.1,298.53,49.09,69.88,10.71,17.45,26.5
1305,483.68,340.3,426.42,51.38,19.09,27.77,33.03
1307,377.28,285.73,25.27,75.8,4.77,7.83,37.49
1308,336.02,292.91,80.24,52.93,11.89,16.49,29.33
1309,375.94,311.68,206.74,72.06,18.4,30.36,18.51
1312,643.99,547.7,2173.75,25.98,19.36,22.9,28.29
1315,1214.25,1106.61,649.04,25.4,19.58,22.26,26.96
1319,203.11,138.69,22.7,65.29,7.37,11.65,36.98
1321,293.64,204.63,7.67,86.28,4.79,5.3,11.19
1323,639.26,495.38,54.66,83.83,12.86,24.75,40.22
1324,544.79,414.48,633.77,38.5,2.05,2.71,26.63
1325,2499.35,2187.01,36302.6,13.93,25.33,29.21,46.41
1326,463.97,385.65,49.53,43.57,13.08,17.26,21.47
1338,323.45,271.64,24.73,59.03,8.09,11.31,40.08
1339,276.9,235.52,19.61,62.99,7.17,11.28,46.91
1402,174.09,128.71,12.45,90.01,5.22,9.68,33.04
1410,1498.68,1436.06,1944.2,29.02,9.76,11.83,62.37
1434,382.29,225.86,38.28,36.24,7.91,9.66,19.3
1436,292.09,47.56,8.8,119.82,6.8,18.89,47.71
1437,735.65,711.12,13.38,71.66,7.88,12.49,116.28
1442,1131.84,40.14,9509.68,89.8,3.92,8.33,35.55
1452,1581.57,1349.56,31323.64,15.49,12.34,13.6,25.55
1457,187.25,137.24,11.93,93.33,7.34,13.6,19.28
1468,297.95,136.47,2.15,96.22,1.99,1.26,17.42
1474,252.68,158.77,15.63,83.03,4.79,8.46,21.05
1475,456.91,412.12,9199.36,74.95,-10.01,-24.4,-28.02
1476,367.77,217.96,261.67,42.0,30.4,40.16,46.76
1477,305.84,196.61,66.31,62.79,20.82,32.58,34.72
1503,220.92,156.61,96.66,66.39,6.84,11.15,30.93
1504,380.38,288.98,35.54,59.08,6.85,10.23,39.9
1513,233.32,130.26,34.66,99.93,7.87,18.86,31.26
1514,254.76,183.39,44.74,81.41,7.57,14.09,27.52
1515,191.33,156.78,105.56,100.55,16.61,39.59,31.09
1519,278.1,175.55,20.04,98.48,5.76,12.94,23.42
1521,235.83,137.96,464.12,81.34,13.13,25.3,25.55
1522,207.5,98.19,9.23,114.77,4.7,12.28,35.21
1524,191.16,122.39,13.02,93.38,4.67,9.16,31.3
1525,300.87,249.91,472.95,29.88,13.01,15.87,15.26
1526,324.75,167.83,79.95,79.83,14.01,27.03,42.81
1532,298.48,114.22,12.6,103.3,6.1,13.35,41.96
1535,258.83,258.43,178.05,94.57,4.91,11.05,10.65
1536,184.62,119.39,24.1,98.13,9.11,19.74,46.99
1537,608.43,373.69,1091.69,47.91,27.04,37.95,37.28
1541,225.98,158.83,64.06,100.31,12.32,28.97,26.91
1558,449.05,375.22,250.5,54.27,17.09,24.73,41.47
1560,327.22,192.39,388.37,65.71,15.86,24.35,51.15
1582,387.39,349.04,712.12,67.83,14.04,22.48,38.21
1589,341.86,284.55,7.0,72.26,2.93,3.42,31.59
1590,211.03,155.45,42.67,74.14,19.22,34.5,81.67
1597,400.34,275.45,57.65,67.01,15.7,25.45,72.25
1603,285.16,221.4,40.01,58.5,5.42,8.06,21.68
1604,250.77,154.64,100.85,68.71,14.55,24.04,30.37
1605,290.92,165.29,39.68,70.43,10.94,18.13,15.4
1609,254.7,174.47,8.95,102.5,7.93,16.69,14.1
1611,427.67,338.85,49.46,41.16,9.62,12.63,41.07
1612,876.92,543.82,361.78,23.4,18.34,21.04,15.49
1614,478.7,247.12,277.62,32.09,7.18,8.79,33.46
1615,327.2,193.91,92.95,56.77,16.15,24.26,21.75
1617,289.83,246.04,31.75,73.52,8.63,14.78,22.08
1618,1158.18,795.18,1743.21,13.86,4.36,4.77,14.61
1701,306.05,184.71,23.7,75.56,6.73,11.56,59.42
