ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼,備註
9.03,1.97,32.1,1.6,-1,2514,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.15,0.55,65.7,1.89,-1,2910,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.34,1.18,34.76,1.7,-1,3432,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.37,1.56,21.12,3.69,-1,1522,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.6,0.64,11.68,2.14,-1,2613,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-60.82,-4.53,-113.93,0.0,-1,1418,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.29,1.29,50.78,1.97,-1,2417,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
0.72,0.09,27.4,1.87,-1,2712,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
0.09,0.01,26.96,1.27,-1,1236,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.76,1.42,10.91,2.33,-1,2634,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.34,0.63,32.86,1.8,-1,2704,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.1,1.18,37.42,2.86,-1,1410,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.78,0.15,27.1,1.2,-1,5258,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.23,0.35,7.67,1.29,-1,2329,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.66,3.04,23.98,2.41,-1,3004,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3.63,0.35,22.0,1.52,-1,3024,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.29,1.5,33.79,3.11,-1,2344,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.09,1.03,20.42,3.28,-1,2359,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1.11,0.12,10.92,0.0,-1,2466,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.25,0.27,31.77,0.62,-1,1217,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.58,2.59,46.1,0.35,-1,1795,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-9.7,-0.87,4.96,0.99,-1,3308,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.14,1.57,13.33,3.98,-1,3481,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.65,0.89,12.86,1.11,-1,2062,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.63,3.19,39.99,0.6,-1,2540,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.87,0.99,65.79,3.45,-1,3164,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-0.73,-0.08,19.58,1.1,-1,3419,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.86,0.57,45.38,1.14,-1,4133,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.25,1.32,4.71,4.01,-1,1725,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-0.13,-0.02,26.65,1.83,-1,1528,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-2.11,-0.56,17.86,2.05,-1,3055,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-47.61,-3.69,50.63,0.0,-1,6598,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.87,0.8,3.94,1.6,-1,1516,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.89,0.61,20.35,1.61,-1,1529,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-3.42,-1.21,13.3,3.85,-1,3311,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-1.86,-0.33,12.8,1.71,-1,1473,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.55,0.62,21.86,3.04,-1,1470,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-31.59,-1.73,-28.21,0.0,-1,2434,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.13,3.86,33.03,3.22,-1,4746,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-14.64,-2.74,-16.81,0.0,-1,1475,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.61,3.64,26.01,4.14,-1,2637,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1.63,0.22,15.98,2.56,-1,1324,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.28,1.3,19.3,4.53,-1,2426,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.59,0.9,58.27,4.13,-1,1731,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-36.34,-0.01,21.16,3.08,-1,3043,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.39,5.2,25.74,2.33,-1,6605,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.49,1.52,34.6,0.53,-1,4576,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1.1,0.24,20.74,1.72,-1,4545,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.92,0.74,13.71,4.44,-1,1220,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.66,1.82,14.24,4.79,-1,1104,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3.63,0.62,66.18,3.29,-1,2601,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-3.21,-0.28,15.39,0.2,-1,2314,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.27,1.11,50.49,4.58,-1,2903,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
0.8,0.3,9.4,3.46,-1,8488,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-0.99,-0.14,7.98,1.67,-1,4976,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-2.78,-0.42,14.33,2.41,-1,8201,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.26,0.86,20.77,3.05,-1,2419,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-9.02,-0.89,4.96,0.0,-1,1213,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.23,1.88,26.54,4.96,-1,1234,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3.22,0.58,9.28,2.4,-1,2462,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.76,0.5,7.42,1.0,-1,2440,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.94,3.71,24.7,4.64,-1,9904,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.19,0.57,67.91,3.02,-1,3094,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.31,1.49,3.38,2.23,-1,2013,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.07,0.81,12.63,4.0,-1,1474,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-0.13,-0.04,32.99,0.63,-1,3027,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.3,3.7,45.77,3.67,-1,2727,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-1.98,-0.33,9.72,0.89,-1,8105,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.56,0.56,8.49,0.73,-1,2358,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-8.24,-0.61,14.47,0.83,-1,1805,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3.79,0.62,58.36,2.38,-1,2701,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-28.77,-0.56,18.36,0.0,-1,1443,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.11,1.75,28.68,2.62,-1,8467,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.93,0.8,25.21,2.1,-1,1810,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1.96,0.33,18.34,0.61,-1,2342,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-1.04,-0.31,19.01,1.26,-1,3504,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-1.34,-1.21,20.43,2.01,-1,2201,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
0.76,0.06,10.45,0.0,-1,1468,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-16.2,-0.13,25.9,0.21,-1,2364,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.65,1.86,18.01,3.1,-1,2206,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-4.76,-0.48,11.54,1.63,-1,6573,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-0.38,-0.02,14.89,3.09,-1,3296,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.28,0.47,18.67,3.38,-1,1531,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.86,2.66,24.59,3.72,-1,2104,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.51,2.77,21.25,2.81,-1,4566,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1.46,0.25,6.43,0.79,-1,3062,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.62,1.84,12.02,4.15,-1,2409,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.39,1.39,22.4,4.22,-1,6558,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-0.69,-0.06,5.43,0.0,-1,1616,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.29,1.43,29.61,3.76,-1,5525,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.56,1.85,33.03,3.83,-1,9946,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-0.63,-0.28,15.1,1.42,-1,8072,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.05,0.59,12.54,0.04,-1,6165,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-0.54,-0.09,11.5,3.49,-1,2460,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.93,1.31,21.97,4.08,-1,2483,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.08,3.25,19.45,3.34,-1,3019,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.93,2.3,21.67,2.28,-1,3605,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.58,2.61,16.63,1.81,-1,9958,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.8,1.11,19.46,4.41,-1,9919,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.46,1.75,9.52,2.66,-1,2328,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-1.4,0.19,13.34,4.24,-1,2731,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.22,1.03,25.01,4.83,-1,3031,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.98,1.19,25.53,4.33,-1,1733,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.44,0.81,45.22,1.02,-1,1783,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.13,2.65,13.33,3.79,-1,2387,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.16,1.82,25.76,3.8,-1,1419,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.31,0.68,10.77,2.78,-1,9907,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-2.87,-0.41,3.06,4.18,-1,6120,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.81,1.95,19.83,4.62,-1,1402,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.27,1.07,20.08,2.58,-1,1614,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-0.81,-0.07,11.05,2.45,-1,8222,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-3.33,-0.43,15.14,0.86,-1,2413,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.02,2.07,6.96,4.61,-1,6139,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-8.67,-2.01,18.44,4.23,-1,3518,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.25,1.44,53.82,1.05,-1,1760,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.89,6.96,17.57,4.02,-1,2239,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-8.27,-0.47,24.89,3.05,-1,6243,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-9.63,-0.72,-1.54,0.26,-1,4142,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.26,4.14,23.26,3.1,-1,6451,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.41,0.66,22.02,2.09,-1,1711,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.77,1.87,22.77,2.84,-1,2362,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.09,1.38,26.54,3.03,-1,2415,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1.97,0.39,22.37,1.29,-1,3704,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-4.4,-0.44,33.51,0.0,-1,1903,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.65,0.67,12.86,0.81,-1,6153,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.38,1.54,67.17,2.37,-1,1786,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.54,4.94,17.39,4.89,-1,5469,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.51,1.22,10.41,3.09,-1,5225,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.93,3.81,19.67,4.89,-1,4104,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-11.37,-3.06,-24.86,3.47,-1,1337,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.79,3.72,9.75,1.26,-1,8046,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.61,0.6,12.57,3.34,-1,1714,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3.83,0.55,15.87,3.09,-1,1735,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1.85,0.22,0.01,3.71,-1,3054,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-6.87,-0.81,11.54,2.8,-1,3058,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.22,0.85,27.41,3.63,-1,6155,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.85,1.27,22.41,2.8,-1,3021,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.73,0.58,12.75,0.0,-1,3701,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.76,0.64,18.67,1.24,-1,2101,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-26.89,-2.66,17.77,0.25,-1,2705,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.89,1.47,22.8,3.61,-1,2105,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3.5,0.41,25.25,0.27,-1,9906,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-1.76,-0.26,11.62,3.46,-1,2486,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.92,1.59,22.48,3.36,-1,9908,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.55,1.89,44.26,2.38,-1,6426,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.88,1.9,18.37,4.14,-1,1907,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.86,3.57,11.39,1.89,-1,4739,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.17,1.14,16.75,4.36,-1,1709,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-13.11,-2.1,2.03,0.61,-1,2102,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.81,2.22,35.78,3.15,-1,4555,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.6,2.34,20.81,4.11,-1,2612,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3.9,0.44,11.95,1.92,-1,2610,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.63,1.64,6.39,3.35,-1,1535,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.34,0.33,9.5,1.74,-1,1414,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.85,1.79,26.22,2.1,-1,1708,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.07,0.65,18.65,3.74,-1,6405,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-12.9,-1.06,16.81,2.32,-1,5484,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.36,0.7,19.59,2.28,-1,6288,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.7,0.32,85.71,1.2,-1,2901,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-19.85,-1.97,-6.51,4.56,-1,3576,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.16,2.08,54.82,1.71,-1,5607,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.7,0.6,10.89,1.6,-1,4426,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.43,0.52,21.12,2.38,-1,2605,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-0.03,0.01,18.92,1.03,-1,6133,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-3.59,-0.72,9.77,4.64,-1,3437,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.86,0.53,8.77,2.63,-1,1618,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
10.02,5.22,17.74,4.58,-1,4935,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.1,1.34,22.78,4.45,-1,2453,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.88,1.68,10.71,3.01,-1,1539,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.86,1.6,12.35,4.35,-1,8926,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.41,0.88,14.0,4.24,-1,4306,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
0.54,0.05,7.75,3.69,-1,2369,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-52.11,-2.39,13.51,0.0,-1,1538,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.39,1.08,17.92,3.84,-1,1802,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.03,0.71,73.7,2.04,-1,2706,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
0.65,0.03,20.48,0.91,-1,2241,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.2,2.38,17.09,4.92,-1,2606,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.91,1.29,37.53,2.21,-1,6668,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-1.26,-0.22,52.92,4.07,-1,2538,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.53,1.33,24.71,4.57,-1,6116,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.52,1.45,10.39,4.04,-1,4906,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.53,2.75,29.89,3.49,-1,8103,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3.17,0.69,6.71,2.77,-1,8110,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-159.53,-0.1,-67.76,0.0,-1,6225,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3.54,0.66,21.35,0.0,-1,3051,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.48,0.27,28.43,1.61,-1,2332,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.05,1.2,26.2,3.31,-1,6215,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.75,0.48,41.52,0.91,-1,2722,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.12,3.28,14.18,1.03,-1,3037,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.92,1.9,31.26,4.02,-1,4164,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.55,2.62,15.66,2.62,-1,5243,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-23.19,-0.98,-5.87,0.0,-1,9928,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-215.93,-0.51,-108.8,0.0,-1,6289,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1.21,-0.21,20.27,2.57,-1,2109,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-4.85,-0.5,16.15,2.69,-1,6117,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.5,3.4,33.05,4.68,-1,5284,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-30.28,-2.89,-8.41,1.39,-1,4934,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.45,1.21,14.31,0.67,-1,2465,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.97,8.35,6.06,3.63,-1,2317,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.07,1.82,44.06,2.99,-1,4737,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.56,1.9,30.7,2.03,-1,6205,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-4.24,-0.44,10.39,0.25,-1,3011,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.28,-0.11,24.83,2.25,-1,3047,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.26,1.93,29.74,4.83,-1,8021,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
2.5,0.75,17.44,2.46,-1,6442,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3.04,0.39,5.14,3.15,-1,9902,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.99,0.43,9.22,4.23,-1,1465,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-7.51,-0.57,-0.35,3.27,-1,3149,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.4,1.16,6.24,5.04,-1,1313,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.92,1.64,17.02,3.77,-1,3346,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-4.48,-0.01,37.54,0.55,-1,1734,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
0.19,0.04,17.28,3.02,-1,4956,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-3.93,-0.85,5.26,3.1,-1,6209,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-1.75,-0.46,18.19,1.61,-1,3591,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
0.78,0.09,32.3,0.0,-1,5531,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-0.96,-0.17,38.11,2.36,-1,2913,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.86,3.49,32.71,1.94,-1,3454,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.11,1.55,20.03,3.37,-1,6585,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3.83,0.61,13.62,2.99,-1,2017,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-8.91,-0.92,-2.15,4.85,-1,2516,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-1.71,-0.22,48.64,3.79,-1,2530,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3.75,0.49,5.59,2.26,-1,2032,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.48,2.62,15.28,2.87,-1,6191,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.14,1.8,23.94,3.6,-1,1504,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.58,1.88,35.69,2.12,-1,3588,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-0.29,-0.06,0.65,1.28,-1,2543,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.77,3.27,28.15,4.64,-1,1339,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3.31,0.42,2.85,2.97,-1,2009,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.11,0.88,20.6,2.8,-1,2106,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-2.25,-0.28,33.86,3.12,-1,2363,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3.98,0.55,7.97,2.94,-1,2515,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.49,2.23,69.77,2.96,-1,1437,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.54,0.69,12.8,1.76,-1,1568,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.47,0.79,8.7,2.79,-1,1219,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.6,0.71,13.16,2.61,-1,1713,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3.18,0.9,6.71,0.94,-1,1321,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-0.81,-0.09,19.01,1.72,-1,1809,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-11.05,-1.07,-16.3,4.8,-1,6431,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
7.79,0.56,4.13,0.0,-1,1413,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.17,1.84,20.69,3.41,-1,2303,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
3.87,0.25,24.05,2.1,-1,2906,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.96,2.37,19.99,1.57,-1,2338,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.74,0.81,6.73,4.02,-1,2010,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.51,2.34,21.9,3.75,-1,1722,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-24.66,-1.87,5.05,4.57,-1,3494,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
5.37,0.76,11.54,0.76,-1,3016,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.77,1.87,20.58,1.4,-1,6477,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.34,0.61,13.63,1.48,-1,1517,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-35.53,-1.17,6.74,0.0,-1,3536,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.61,0.72,25.0,4.58,-1,2511,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
8.16,1.89,11.57,3.89,-1,1457,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
4.88,0.74,34.66,3.28,-1,3050,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
6.23,0.87,13.21,1.06,-1,2618,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-29.36,-2.26,7.4,0.0,-1,1472,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
1.4,0.17,25.06,2.5,-1,3535,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
9.53,1.22,17.74,2.52,-1,1218,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-0.13,-0.02,25.12,1.73,-1,2405,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
-8.82,-0.87,51.72,0.0,-1,4108,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
0.99,0.05,41.23,1.83,-1,2506,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
0.77,0.33,9.29,2.81,-1,8429,"ROE_5Y <= 10.035, 現金殖利率 <= 5.045"
