ROE_5Y,EPS_5Y,毛利率_5Y,現金殖利率,正負樣本,代碼,備註
13.01,7.15,18.26,6.0,1,1301,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
19.76,8.9,19.92,6.54,1,6504,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
28.63,15.07,15.6,5.98,1,6691,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
23.75,4.2,18.65,7.6,1,1515,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
14.27,2.01,11.5,7.16,1,2020,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
19.26,7.22,17.11,6.3,1,2385,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
17.5,7.88,18.11,6.08,1,2376,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
13.96,2.86,10.17,5.42,1,3029,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
11.0,2.5,8.01,6.42,1,2069,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
21.64,4.84,16.73,5.02,1,6412,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
27.83,19.59,15.16,8.65,1,2227,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
16.29,10.4,19.32,6.62,1,3044,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
12.88,5.98,16.11,6.61,1,1303,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
24.39,9.84,18.03,6.27,1,2609,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
13.8,4.71,4.07,5.39,1,3702,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
12.77,2.19,5.99,5.53,1,3033,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
14.71,3.67,11.13,5.26,1,2031,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
14.37,2.96,8.02,6.8,1,6189,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
13.2,2.84,10.79,6.47,1,6112,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
15.22,4.91,13.62,5.79,1,2015,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
13.74,4.03,16.97,5.31,1,1312,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
19.07,10.74,13.85,9.2,1,2439,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
11.48,2.93,10.18,7.61,1,9927,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
13.73,3.16,12.42,5.49,1,3528,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
11.6,3.04,16.76,7.76,1,3032,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
19.07,13.45,9.44,6.36,1,6456,"ROE_5Y >= 10.035, 現金殖利率 >= 4.905, 毛利率_5Y <= 19.98"
11.14,2.29,32.73,3.29,1,3645,"ROE_5Y >= 10.035, 毛利率_5Y >= 19.98"
