155,1701　中化,上市,生技醫療業
156,1702　南僑,上市,食品工業
157,1707　葡萄王,上市,生技醫療業
158,1708　東鹼,上市,化學工業
159,1709　和益,上市,化學工業
160,1710　東聯,上市,化學工業
161,1711　永光,上市,化學工業
162,1712　興農,上市,化學工業
163,1713　國化,上市,化學工業
164,1714　和桐,上市,化學工業
165,1717　長興,上市,化學工業
166,1718　中纖,上市,化學工業
167,1720　生達,上市,生技醫療業
168,1721　三晃,上市,化學工業
169,1722　台肥,上市,化學工業
170,1723　中碳,上市,化學工業
171,1725　元禎,上市,化學工業
172,1726　永記,上市,化學工業
173,1727　中華化,上市,化學工業
174,1730　花仙子,上市,化學工業
175,1731　美吾華,上市,生技醫療業
176,1732　毛寶,上市,化學工業
177,1733　五鼎,上市,生技醫療業
178,1734　杏輝,上市,生技醫療業
179,1735　日勝化,上市,化學工業
180,1736　喬山,上市,生技醫療業
181,1737　臺鹽,上市,食品工業
182,1752　南光,上市,生技醫療業
183,1760　寶齡富錦,上市,生技醫療業
184,1762　中化生,上市,生技醫療業
185,1773　勝一,上市,化學工業
186,1776　展宇,上市,化學工業
187,1783　和康生,上市,生技醫療業
188,1786　科妍,上市,生技醫療業
189,1789　神隆,上市,生技醫療業
190,1795　美時,上市,生技醫療業
191,1802　台玻,上市,玻璃陶瓷
192,1805　寶徠,上市,建材營造業
193,1806　冠軍,上市,玻璃陶瓷
194,1808　潤隆,上市,建材營造業
195,1809　中釉,上市,玻璃陶瓷
196,1810　和成,上市,玻璃陶瓷
197,1817　凱撒衛,上市,玻璃陶瓷
198,1903　士紙,上市,造紙工業
199,1904　正隆,上市,造紙工業
200,1905　華紙,上市,造紙工業
201,1906　寶隆,上市,造紙工業
202,1907　永豐餘,上市,造紙工業
203,1909　榮成,上市,造紙工業
204,2002　中鋼,上市,鋼鐵工業
205,2006　東和鋼鐵,上市,鋼鐵工業
206,2007　燁興,上市,鋼鐵工業
207,2008　高興昌,上市,鋼鐵工業
208,2009　第一銅,上市,鋼鐵工業
209,2010　春源,上市,鋼鐵工業
210,2012　春雨,上市,鋼鐵工業
211,2013　中鋼構,上市,鋼鐵工業
212,2014　中鴻,上市,鋼鐵工業
213,2015　豐興,上市,鋼鐵工業
214,2017　官田鋼,上市,鋼鐵工業
215,2020　美亞,上市,鋼鐵工業
216,2022　聚亨,上市,鋼鐵工業
217,2023　燁輝,上市,鋼鐵工業
218,2024　志聯,上市,鋼鐵工業
219,2025　千興,上市,鋼鐵工業
220,2027　大成鋼,上市,鋼鐵工業
221,2028　威致,上市,鋼鐵工業
222,2029　盛餘,上市,鋼鐵工業
223,2030　彰源,上市,鋼鐵工業
224,2031　新光鋼,上市,鋼鐵工業
225,2032　新鋼,上市,鋼鐵工業
226,2033　佳大,上市,鋼鐵工業
227,2034　允強,上市,鋼鐵工業
228,2038　海光,上市,鋼鐵工業
229,2049　上銀,上市,電機機械
230,2059　川湖,上市,電子零組件業
231,2062　橋椿,上市,其他業
232,2069　運錩,上市,鋼鐵工業
233,2101　南港,上市,橡膠工業
234,2102　泰豐,上市,橡膠工業
235,2103　台橡,上市,橡膠工業
236,2104　國際中橡,上市,橡膠工業
237,2105　正新,上市,橡膠工業
238,2106　建大,上市,橡膠工業
239,2107　厚生,上市,橡膠工業
240,2108　南帝,上市,橡膠工業
241,2109　華豐,上市,橡膠工業
242,2114　鑫永銓,上市,橡膠工業
243,2115　六暉-KY,上市,汽車工業
244,2201　裕隆,上市,汽車工業
245,2204　中華,上市,汽車工業
246,2206　三陽工業,上市,汽車工業
247,2207　和泰車,上市,汽車工業
248,2208　台船,上市,航運業
249,2211　長榮鋼,上市,鋼鐵工業
250,2227　裕日車,上市,汽車工業
251,2228　劍麟,上市,汽車工業
252,2231　為升,上市,汽車工業
253,2233　宇隆,上市,汽車工業
254,2236　百達-KY,上市,汽車工業
255,2239　英利-KY,上市,汽車工業
256,2241　艾姆勒,上市,汽車工業
257,2243　宏旭-KY,上市,汽車工業
258,2247　汎德永業,上市,汽車工業
259,2250　IKKA-KY,上市,汽車工業
260,2301　光寶科,上市,電腦及週邊設備業
261,2302　麗正,上市,半導體業
262,2303　聯電,上市,半導體業
263,2305　全友,上市,電腦及週邊設備業
264,2308　台達電,上市,電子零組件業
265,2312　金寶,上市,其他電子業
266,2313　華通,上市,電子零組件業
267,2314　台揚,上市,通信網路業
268,2316　楠梓電,上市,電子零組件業
269,2317　鴻海,上市,其他電子業
270,2321　東訊,上市,通信網路業
271,2323　中環,上市,光電業
272,2324　仁寶,上市,電腦及週邊設備業
273,2327　國巨,上市,電子零組件業
274,2328　廣宇,上市,電子零組件業
275,2329　華泰,上市,半導體業
276,2330　台積電,上市,半導體業
277,2331　精英,上市,電腦及週邊設備業
278,2332　友訊,上市,通信網路業
279,2337　旺宏,上市,半導體業
280,2338　光罩,上市,半導體業
281,2340　台亞,上市,半導體業
282,2342　茂矽,上市,半導體業
283,2344　華邦電,上市,半導體業
284,2345　智邦,上市,通信網路業
285,2347　聯強,上市,電子通路業
286,2348　海悅,上市,其他業
287,2349　錸德,上市,光電業
288,2351　順德,上市,半導體業
289,2352　佳世達,上市,電腦及週邊設備業
290,2353　宏碁,上市,電腦及週邊設備業
291,2354　鴻準,上市,其他電子業
292,2355　敬鵬,上市,電子零組件業
293,2356　英業達,上市,電腦及週邊設備業
294,2357　華碩,上市,電腦及週邊設備業
295,2358　廷鑫,上市,其他業
296,2359　所羅門,上市,其他電子業
297,2360　致茂,上市,其他電子業
